,Creativity,note-edit-count,navigate-count,playback-count,help-count,building-count,param-change-count,saving-count,clipboard-count,total-count,category
0,1.92,26,5,21,2,67,31,0,7,208,least_creative
2,2.15,76,14,16,0,78,7,0,0,216,least_creative
10,1.62,57,0,6,2,17,0,0,2,98,least_creative
11,1.92,39,14,14,2,45,0,0,0,128,least_creative
3,2.92,38,1,8,2,53,4,0,10,164,some_creative
4,2.92,54,11,25,2,47,17,0,3,180,some_creative
5,2.92,49,8,20,2,109,1,0,23,409,some_creative
6,2.31,53,9,18,2,49,8,0,0,151,some_creative
13,2.77,40,4,14,2,82,0,0,4,186,some_creative
1,3.0,47,13,27,2,74,0,0,0,194,mostly_creative
8,3.0,9,7,9,2,31,29,0,0,98,mostly_creative
7,3.77,38,19,4,2,55,18,0,0,149,very_creative
9,3.85,94,11,26,2,72,4,0,0,236,very_creative
12,3.46,30,8,23,2,71,1,0,3,173,very_creative
